"Order","Family","species","Diploid.number","Fundamental.number","haploid"
"Anura","Allophrynidae","allophryne_ruthveni",20,40,"10"
"Anura","Alsodidae","alsodes_aff_vittatus",26,52,"13"
"Anura","Alsodidae","alsodes_barrioi",34,56,"17"
"Anura","Alsodidae","alsodes_coppingeri",26,52,"13"
"Anura","Alsodidae","alsodes_gargola",26,52,"13"
"Anura","Alsodidae","alsodes_hugoi",26,NA,"13"
"Anura","Alsodidae","alsodes_igneus",26,NA,"13"
"Anura","Alsodidae","alsodes_montanus",26,52,"13"
"Anura","Alsodidae","alsodes_monticola",26,52,"13"
"Anura","Alsodidae","alsodes_neuquensis",26,NA,"13"
"Anura","Alsodidae","alsodes_nodosus",22,44,"11"
"Anura","Alsodidae","alsodes_norae",30,52,"15"
"Anura","Alsodidae","alsodes_pehuenche",26,52,"13"
"Anura","Alsodidae","alsodes_tumultuosus",26,52,"13"
"Anura","Alsodidae","alsodes_vanzolinii",26,50,"13"
"Anura","Alsodidae","alsodes_vanzolinii",26,52,"13"
"Anura","Alsodidae","alsodes_verrucosus",26,52,"13"
"Anura","Alsodidae","alsodes_vittatus",28,NA,"14"
"Anura","Alsodidae","eupsophus_calcaratus",30,46,"15"
"Anura","Alsodidae","eupsophus_emiliopugini",28,56,"14"
"Anura","Alsodidae","eupsophus_insularis",30,44,"15"
"Anura","Alsodidae","eupsophus_migueli",30,44,"15"
"Anura","Alsodidae","eupsophus_roseus",30,44,"15"
"Anura","Alsodidae","eupsophus_roseus",30,46,"15"
"Anura","Alsodidae","eupsophus_roseus",30,44,"15"
"Anura","Alsodidae","eupsophus_vertebralis",42,56,"21"
"Anura","Alsodidae","limnomedusa_macroglossa",26,NA,"13"
"Anura","Alytidae","alytes_cisternasii",38,50,"19"
"Anura","Alytidae","alytes_muletensis",38,60,"19"
"Anura","Alytidae","alytes_obstetricans",38,NA,"19"
"Anura","Alytidae","discoglossus_galganoi_galganoi",28,56,"14"
"Anura","Alytidae","discoglossus_jeanneae",28,56,"14"
"Anura","Alytidae","discoglossus_montalentii",28,56,"14"
"Anura","Alytidae","discoglossus_pictus",28,54,"14"
"Anura","Alytidae","discoglossus_pictus_auritus",28,NA,"14"
"Anura","Alytidae","discoglossus_pictus_pictus",28,56,"14"
"Anura","Alytidae","discoglossus_sardus",28,56,"14"
"Anura","Aromobatidae","allobates_brunneus",24,46,"12"
"Anura","Aromobatidae","allobates_caeruleodactylus",22,NA,"11"
"Anura","Aromobatidae","allobates_chalcopis",22,44,"11"
"Anura","Aromobatidae","allobates_femoralis",24,48,"12"
"Anura","Aromobatidae","allobates_marchesianus",22,NA,"11"
"Anura","Aromobatidae","allobates_nidicola",22,44,"11"
"Anura","Aromobatidae","allobates_olfersioides",24,48,"12"
"Anura","Aromobatidae","allobates_talamancae",24,48,"12"
"Anura","Aromobatidae","anomaloglossus_stepheni",24,46,"12"
"Anura","Aromobatidae","aromobates_leopardalis",24,48,"12"
"Anura","Aromobatidae","mannophryne_herminae",24,48,"12"
"Anura","Aromobatidae","mannophryne_neblina",24,48,"12"
"Anura","Aromobatidae","mannophryne_olmonae",24,48,"12"
"Anura","Aromobatidae","mannophryne_trinitatis",24,48,"12"
"Anura","Aromobatidae","mannophryne_trinitatis",24,NA,"12"
"Anura","Aromobatidae","rheobates_palmatus",24,48,"12"
"Anura","Arthroleptidae","arthroleptis_adolfifriederici",14,NA,"7"
"Anura","Arthroleptidae","arthroleptis_poecilonotus",14,28,"7"
"Anura","Arthroleptidae","arthroleptis_sp",14,28,"7"
"Anura","Arthroleptidae","arthroleptis_stenodactylus",14,28,"7"
"Anura","Arthroleptidae","astylosternus_diadematus",54,68,"27"
"Anura","Arthroleptidae","cardioglossa_gracilis",16,32,"8"
"Anura","Arthroleptidae","cardioglossa_leucomystax",18,32,"9"
"Anura","Arthroleptidae","leptopelis_aubryi",22,44,"11"
"Anura","Arthroleptidae","leptopelis_bocagii",22,44,"11"
"Anura","Arthroleptidae","leptopelis_boulengeri",22,44,"11"
"Anura","Arthroleptidae","leptopelis_calcaratus",24,46,"12"
"Anura","Arthroleptidae","leptopelis_concolor",24,NA,"12"
"Anura","Arthroleptidae","leptopelis_gramineus",24,48,"12"
"Anura","Arthroleptidae","leptopelis_palmatus",24,46,"12"
"Anura","Arthroleptidae","leptopelis_parkeri",30,40,"15"
"Anura","Arthroleptidae","leptopelis_vermiculatus",24,46,"12"
"Anura","Arthroleptidae","leptopelis_viridis",24,44,"12"
"Anura","Arthroleptidae","leptopelis_viridis",22,44,"11"
"Anura","Arthroleptidae","nyctibates_corrugatus",28,56,"14"
"Anura","Ascaphidae","ascaphus_truei",44,NA,"22"
"Anura","Ascaphidae","ascaphus_truei",46,56,"23"
"Anura","Batrachylidae","atelognathus_nitoi",26,NA,"13"
"Anura","Batrachylidae","atelognathus_patagonicus",26,NA,"13"
"Anura","Batrachylidae","atelognathus_praebasalticus",26,NA,"13"
"Anura","Batrachylidae","atelognathus_reverberii",26,NA,"13"
"Anura","Batrachylidae","batrachyla_antartandica",26,50,"13"
"Anura","Batrachylidae","batrachyla_leptopus",26,52,"13"
"Anura","Batrachylidae","batrachyla_nibaldoi",26,50,"13"
"Anura","Batrachylidae","batrachyla_taeniata",26,50,"13"
"Anura","Batrachylidae","hylorina_sylvatica",26,NA,"13"
"Anura","Bombinatoridae","bombina_bombina",24,48,"12"
"Anura","Bombinatoridae","bombina_maxima",28,56,"14"
"Anura","Bombinatoridae","bombina_microdeladigitora",28,56,"14"
