Order,Family,Genus,species,haploid
Hymenoptera,Andrenidae,Andrena,togashii,3
Hymenoptera,Andrenidae,Andrena (Hesperandrena),duboisi,3
Hymenoptera,Andrenidae,Andrena (Hesperandrena),sp.,10
Hymenoptera,Aphelinidae,Aphelinus,mali,5
Hymenoptera,Aphelinidae,Aphytis,mytilaspidus,5
Hymenoptera,Aphelinidae,Archenomus,orientalis,11
Hymenoptera,Aphelinidae,Encarsia,berlesei,5
Hymenoptera,Aphelinidae,Encarsia,pergandiella,6
Hymenoptera,Apidae, Camargoia,nordestina,17
Hymenoptera,Apidae, Cephalotrigona,capitata,17
Hymenoptera,Apidae, Frieseomelitta,doederleini,15
Hymenoptera,Apidae, Frieseomelitta,languida,15
Hymenoptera,Apidae, Frieseomelitta,varia,15
Hymenoptera,Apidae, Geotrigona,mombuca,15
Hymenoptera,Apidae, Lestrimelitta,limao,14
Hymenoptera,Apidae, Mourella,caerulea,17
Hymenoptera,Apidae, Nannotrigona,sp.1,17
Hymenoptera,Apidae, Nannotrigona,testaceicornis,17
Hymenoptera,Apidae, Paratrigona,subnuda,17
Hymenoptera,Apidae, Ptilotrigona, lurida,11
Hymenoptera,Apidae, Scaptotrigona,acantha,17
Hymenoptera,Apidae, Scaptotrigona,angustula,17
Hymenoptera,Apidae, Scaptotrigona,angustula,17
Hymenoptera,Apidae, Scaptotrigona,appendiculata,16
Hymenoptera,Apidae, Scaptotrigona,babai,16
Hymenoptera,Apidae, Scaptotrigona,barrocoloralensis,17
Hymenoptera,Apidae, Scaptotrigona,chanchamayoensis,17
Hymenoptera,Apidae, Scaptotrigona,clavipes,17
Hymenoptera,Apidae, Scaptotrigona,dentipes,17
Hymenoptera,Apidae, Scaptotrigona,depilis,17
Hymenoptera,Apidae, Scaptotrigona,esakii,16
Hymenoptera,Apidae, Scaptotrigona,fenestrata,16
Hymenoptera,Apidae, Scaptotrigona,fenestrata,16
Hymenoptera,Apidae, Scaptotrigona,fiebrigi,17
Hymenoptera,Apidae, Scaptotrigona,flavipes,17
Hymenoptera,Apidae, Scaptotrigona,fulgidus longiplumosis,13
Hymenoptera,Apidae, Scaptotrigona,fulviventris,16
Hymenoptera,Apidae, Scaptotrigona,fuscipennis,17
Hymenoptera,Apidae, Scaptotrigona,japonica,17
Hymenoptera,Apidae, Scaptotrigona,latitarsis,17
Hymenoptera,Apidae, Scaptotrigona,megastigmata,17
Hymenoptera,Apidae, Scaptotrigona,minangkabou,20
Hymenoptera,Apidae, Scaptotrigona,muelleri,8
Hymenoptera,Apidae, Scaptotrigona,okinawana,17
Hymenoptera,Apidae, Scaptotrigona,pectoralis barrocoloradensis,17
Hymenoptera,Apidae, Scaptotrigona,postica,17
Hymenoptera,Apidae, Scaptotrigona,quadripunctata,17
Hymenoptera,Apidae, Scaptotrigona,recursa,17
Hymenoptera,Apidae, Scaptotrigona,smaragdula,14
Hymenoptera,Apidae, Scaptotrigona,sp.1,17
Hymenoptera,Apidae, Scaptotrigona,spinipes,17
Hymenoptera,Apidae, Scaptotrigona,spinipes,17
Hymenoptera,Apidae, Scaptotrigona,subterranea,17
Hymenoptera,Apidae, Scaptotrigona,violacea,16
Hymenoptera,Apidae, Scaptotrigona,violacea,16
Hymenoptera,Apidae, Scaptotrigona,xanthotricha,17
Hymenoptera,Apidae,Anthophora,acervorum villosula,9
Hymenoptera,Apidae,Anthophora,bomboides,18
Hymenoptera,Apidae,Anthophora,californica,19
Hymenoptera,Apidae,Anthophora,plumipes,9
Hymenoptera,Apidae,Apis,cerana,16
Hymenoptera,Apidae,Apis,cerana indica,16
Hymenoptera,Apidae,Apis,cerana japonica,16
Hymenoptera,Apidae,Apis,dorsata,16
Hymenoptera,Apidae,Apis,florea,16
Hymenoptera,Apidae,Apis,mellifera,16
Hymenoptera,Apidae,Apis,mellifera adansonii,16
Hymenoptera,Apidae,Apis,mellifera ligustica,16
Hymenoptera,Apidae,Apis,mellifera mellifera,16
Hymenoptera,Apidae,Axestotrigona,ferruginea,18
Hymenoptera,Apidae,Bombus,affinis,18
Hymenoptera,Apidae,Bombus,atratus,20
Hymenoptera,Apidae,Bombus,deuteronymus maruhanabachi,23
Hymenoptera,Apidae,Bombus,diversus,18
Hymenoptera,Apidae,Bombus,honshuensis,17
Hymenoptera,Apidae,Bombus,hypocrita,18
Hymenoptera,Apidae,Bombus,ignitus,18
Hymenoptera,Apidae,Bombus,lucorum lucorum,18
Hymenoptera,Apidae,Bombus,moderatus,18
Hymenoptera,Apidae,Bombus,morio,20
Hymenoptera,Apidae,Bombus,pennsylvanicus,18
Hymenoptera,Apidae,Bombus,pseudobaicalensis,17
