Family,Genus,sp,species,haploid
Amathusiidae,Faunis,eumeus,Faunis_eumeus,29
Autostichidae,Nephantis,serinopa,Nephantis_serinopa,30
Bombycidae,Bombyx,huttoni,Bombyx_huttoni,31
Bombycidae,Bombyx,mori,Bombyx_mori,27
Bombycidae,Bombyx,mori,Bombyx_mori,28
Bombycidae,Bombyx,mori,Bombyx_mori,28
Bombycidae,Theophila,mandarina,Theophila_mandarina,27
Carposinidae,Carposina,niponensis,Carposina_niponensis,31
Crambidae,Cnaphalocrocis,medinalis,Cnaphalocrocis_medinalis,30
Crambidae,Nausinoe,perspectata,Nausinoe_perspectata,31
Crambidae,Ostrinia,scapulalis,Ostrinia_scapulalis,31
Crambidae,Pygospila,tyres,Pygospila_tyres,28
Crambidae,Scirophaga,incertulas,Scirophaga_incertulas,22
Drepanidae,Thyatira,batis,Thyatira_batis,31
Erebidae,Abraxas,grossulariata,Abraxas_grossulariata_dohrnii,28
Erebidae,Apantesis,phalerata,Apantesis_phalerata,29
Erebidae,Apantesis,vittata,Apantesis_vittata,30
Erebidae,Arcte,coerulea,Arcte_coerulea,31
Erebidae,Arctia,caja,Arctia_caja_phaesoma,31
Erebidae,Arctia,caja,Arctia_caja,31
Erebidae,Asota,caricae,Asota_caricae,31
Erebidae,Calliteara,pudibunda,Calliteara_pudibunda,87
Erebidae,Dasychira,pseudabietis,Dasychira_pseudabietis,52
Erebidae,Diaphora,mendica,Diaphora_mendica,26
Erebidae,Diaphora,mendica,Diaphora_mendica,31
Erebidae,Diaphora,mendica,Diaphora_mendica,31
Erebidae,Dicallomera,kusnezovi,Dicallomera_kusnezovi,20
Erebidae,Earias,insulana,Earias_insulana,31
Erebidae,Earias,insulara,Earias_insulara,31
Erebidae,Earias,vittella,Earias_vittella,31
Erebidae,Euproctis,chrysorrhoea,Euproctis_chrysorrhoea,14
Erebidae,Euproctis,chrysorrhoea,Euproctis_chrysorrhoea,31
Erebidae,Euproctis,flava,Euproctis_flava,22
Erebidae,Euproctis,kogistana,Euproctis_kogistana,22
Erebidae,Euproctis,pseudoconspersa,Euproctis_pseudoconspersa,22
Erebidae,Euproctis,similis,Euproctis_similis,22
Erebidae,Euproctis,similis,Euproctis_similis,23
Erebidae,Euproctis,similis,Euproctis_similis,23
Erebidae,Euproctis,virguncula,Euproctis_virguncula,31
Erebidae,Gynaephora,pumila,Gynaephora_pumila,18
Erebidae,Gynaephora,selenitica†,Gynaephora_selenitica†,22
Erebidae,Hippocrita,jacobaea,Hippocrita_jacobaea,31
Erebidae,Hyphantria,cunea,Hyphantria_cunea,31
Erebidae,Leucoma,salicis,Leucoma_salicis,30
Erebidae,Leucoma,salicis,Leucoma_salicis,30
Erebidae,Lilhosia,quadra,Lilhosia_quadra,31
Erebidae,Lophocampa,maculata,Lophocampa_maculata,17
Erebidae,Lophocampa,maculata,Lophocampa_maculata,17
Erebidae,Lymantria,dispar,Lymantria_dispar_japonica,31
Erebidae,Lymantria,dispar,Lymantria_dispar,31
Erebidae,Lymantria,dispar,Lymantria_dispar,31
Erebidae,Lymantria,dispar,Lymantria_dispar,31
Erebidae,Lymantria,fumida,Lymantria_fumida,30
Erebidae,Lymantria,mathura,Lymantria_mathura_aurora,31
Erebidae,Lymantria,umida,Lymantria_umida,30
Erebidae,Lymantrla,monacha,Lymantrla_monacha,31
Erebidae,Miltochrista,miniata,Miltochrista_miniata,31
Erebidae,Ocnogyna,baetica,Ocnogyna_baetica,31
Erebidae,Olene,fascelina,Olene_fascelina_caucasica,31
Erebidae,Olene,olga,Olene_olga,21
Erebidae,Orgyia,antiqua,Orgyia_antiqua,14
Erebidae,Orgyia,antiqua,Orgyia_antiqua,14
Erebidae,Orgyia,antiquoides,Orgyia_antiquoides,30
Erebidae,Orgyia,leucostigma,Orgyia_leucostigma,28
Erebidae,Orgyia,recens,Orgyia_recens,30
Erebidae,Orgyia,thyellina,Orgyia_thyellina,11
Erebidae,Orgyia,thyellina,Orgyia_thyellina,11
Erebidae,orgyia,trigotephras,orgyia_trigotephras,29
Erebidae,Pericallia,ricini,Pericallia_ricini,31
Erebidae,Phragmatobia,fuliginosa,Phragmatobia_fuliginosa,28
Erebidae,Phragmatobia,fuliginosa,Phragmatobia_fuliginosa_amurensis,29
Erebidae,Spilarctis,imparilis,Spilarctis_imparilis,31
Erebidae,Spilaritia,infernalis,Spilaritia_infernalis,31
Erebidae,Spilosoma,imparilis,Spilosoma_imparilis,31
Erebidae,Spilosoma,infernalis,Spilosoma_infernalis,31
Erebidae,Spilosoma,lubricipeda,Spilosoma_lubricipeda,30
Erebidae,Spilosoma,lubricipeda,Spilosoma_lubricipeda,31
Erebidae,Spilosoma,lubricipedum,Spilosoma_lubricipedum,31
Erebidae,Spilosoma,mendica,Spilosoma_mendica,26
Erebidae,Spilosoma,mendicum,Spilosoma_mendicum,31
Erebidae,Spilosoma,obliqua,Spilosoma_obliqua,31
Erebidae,Spilosoma,punctaria,Spilosoma_punctaria,34
Erebidae,Stigmatophora,flava,Stigmatophora_flava,31
Erebidae,Tyria,jacobaeae,Tyria_jacobaeae,31
Erebidae,Tyria,jacobaeae,Tyria_jacobaeae,31
Erebidae,Utetheisa,ornatrix,Utetheisa_ornatrix_bella,31
Erebidae,Utetheisa,ornatrix,Utetheisa_ornatrix_stretchii,31
Erebidae,Utetheisa,ornatrix,Utetheisa_ornatrix,31
Erebidae,Utetheisa,pulchella,Utetheisa_pulchella,31
Eupterotidae,Apha,aequalis,Apha_aequalis,22
Gelechiidae,Anacampsis,innocuella,Anacampsis_innocuella,29
Gelechiidae,Anacampsis,populella,Anacampsis_populella,29
Gelechiidae,Anacampsis,timidella,Anacampsis_timidella,29
Gelechiidae,Coleotechnites,resinosaa,Coleotechnites_resinosaa,30
Gelechiidae,Exoteleia,dodecella,Exoteleia_dodecella,12
Gelechiidae,Exoteleia,pinifoliella,Exoteleia_pinifoliella,11
Gelechiidae,Exotelsia,dodscella,Exotelsia_dodscella,12
Gelechiidae,Exotelsia,nepheos,Exotelsia_nepheos,12
Gelechiidae,Exotelsia,pinifoliella,Exotelsia_pinifoliella,11
Gelechiidae,Phthorimaea,operculella,Phthorimaea_operculella,29
Gelechiidae,Sititroga,cerealella,Sititroga_cerealella,30
Geometridae,Abraxas,grossulariata,Abraxas_grossulariata,28
Geometridae,Abraxas,sylvata,Abraxas_sylvata,29
Geometridae,Abraxas,sylvata,Abraxas_sylvata,29
Geometridae,Aethalura,punctulata,Aethalura_punctulata,32
Geometridae,Agathia,carissima,Agathia_carissima,31
Geometridae,Agathia,carssima,Agathia_carssima,31
Geometridae,Alcis,porcelaria,Alcis_porcelaria,31
Geometridae,Aperia,syringaria,Aperia_syringaria,29
Geometridae,Ascotis,selenaria,Ascotis_selenaria_cretacea,34
Geometridae,Ascotos,selenaria,Ascotos_selenaria_cretacea,34
Geometridae,Campaea,margatitata,Campaea_margatitata,31
Geometridae,Camptogramma,bilineata,Camptogramma_bilineata,30
Geometridae,Caripeta,angustiorata,Caripeta_angustiorata,29
Geometridae,Caripeta,divisata,Caripeta_divisata,29
Geometridae,Chlorochysta,miata,Chlorochysta_miata,30
Geometridae,Coenotephria,sagittata,Coenotephria_sagittata,12
Geometridae,Colostygia,aptata,Colostygia_aptata,30
Geometridae,Colostygia,didymata,Colostygia_didymata,27
Geometridae,Colostygia,olivata,Colostygia_olivata,31
Geometridae,Colostygia,parallelolineata,Colostygia_parallelolineata,30
Geometridae,Colostygia,pectinataria,Colostygia_pectinataria,31
Geometridae,Cosmorhoe,ocellata,Cosmorhoe_ocellata,31
Geometridae,Cusiala,stipitaria,Cusiala_stipitaria_karuizawensis,30
Geometridae,Cyclophora,albipunctata,Cyclophora_albipunctata,31
Geometridae,Cyclophora,sp.,Cyclophora_sp.,31
Geometridae,Dysstroma,citrata,Dysstroma_citrata,29
Geometridae,Dysstroma,latefasciata,Dysstroma_latefasciata,29
Geometridae,Dysstroma,truncata,Dysstroma_truncata,29
Geometridae,Ectropis,deodarae,Ectropis_deodarae,31
Geometridae,Epirrhoe,alternata,Epirrhoe_alternata,31
Geometridae,Epirrhoe,galiata,Epirrhoe_galiata,31
Geometridae,Epirrhoe,trista,Epirrhoe_trista,30
Geometridae,Epirrita,christyi,Epirrita_christyi,31
Geometridae,Euphyia,corylata,Euphyia_corylata,30
Geometridae,Euphyia,cucullata,Euphyia_cucullata,31
Geometridae,Euphyia,luctuata,Euphyia_luctuata,30
Geometridae,Euphyia,unangulata,Euphyia_unangulata,28
Geometridae,Geometridae,sp.,Geometridae_sp.,32
Geometridae,Hydrelia,flammeolaria,Hydrelia_flammeolaria,30
Geometridae,Hydrelia,sylvata,Hydrelia_sylvata,13
Geometridae,Hydriomena,furcata,Hydriomena_furcata,28
Geometridae,Hydriomena,impluviata,Hydriomena_impluviata,30
Geometridae,Hydriomena,ruberata,Hydriomena_ruberata,30
Geometridae,Hydriornena,ruberata,Hydriornena_ruberata,30
Geometridae,Hypomecis,punctinalis,Hypomecis_punctinalis,31
Geometridae,Hypomecis,punctinalis,Hypomecis_punctinalis,32
Geometridae,Idaea,aversata,Idaea_aversata,26
Geometridae,Lambdina,fiscellaria,Lambdina_fiscellaria,38
Geometridae,Lampropteryx,minna,Lampropteryx_minna,17
Geometridae,Lampropteryx,suffumata,Lampropteryx_suffumata,32
Geometridae,Larentia,autumnalis,Larentia_autumnalis,30
Geometridae,Lycia,hirtaria,Lycia_hirtaria,14
Geometridae,Lycia,zonaria,Lycia_zonaria,56
Geometridae,Mesolenca,albicillata,Mesolenca_albicillata,31
Geometridae,Mesoleuca,albicillata,Mesoleuca_albicillata,31
Geometridae,Nepytia,canosaria,Nepytia_canosaria,61
Geometridae,Opisthograptis,luteolata,Opisthograptis_luteolata,31
Geometridae,Oporinia,autumnata,Oporinia_autumnata,38
Geometridae,Oporinia,dilutata,Oporinia_dilutata,30
Geometridae,Oporinia,filigrammaria,Oporinia_filigrammaria,37
Geometridae,Ourapteryx,sambucaria,Ourapteryx_sambucaria,31
Geometridae,Pelurga,comitata,Pelurga_comitata,32
Geometridae,Perizoma,affinitata,Perizoma_affinitata,25
Geometridae,Perizoma,alchemillata,Perizoma_alchemillata,30
Geometridae,Perizoma,blandiata,Perizoma_blandiata,30
Geometridae,Perizoma,flavofasciata,Perizoma_flavofasciata,30
Geometridae,Perizoma,hydrata,Perizoma_hydrata,25
Geometridae,Perizoma,taeniata,Perizoma_taeniata,32
Geometridae,Phigalia,pilosaria,Phigalia_pilosaria,112
Geometridae,Plagodis,alcoolaria,Plagodis_alcoolaria,31
Geometridae,Poecilopsis,pomonaria,Poecilopsis_pomonaria,51
Geometridae,Psychophora,caesiata,Psychophora_caesiata,31
Geometridae,Psychophora,sabini,Psychophora_sabini_frigidaria,29
Geometridae,Rheumaptera,hastata,Rheumaptera_hastata,31
Geometridae,Selenia,bilunaria,Selenia_bilunaria,30
Geometridae,Selenia,lunaria,Selenia_lunaria,31
Geometridae,Selenia,tetralunaria,Selenia_tetralunaria,29
Geometridae,Thera,cognata,Thera_cognata,20
Geometridae,Thera,firmata,Thera_firmata,19
Geometridae,Thera,juniperata,Thera_juniperata,30
Geometridae,Thera,obeliscata,Thera_obeliscata,13
Geometridae,Thera,variata,Thera_variata,13
Geometridae,Xanthorhoe,fluctuata,Xanthorhoe_fluctuata,31
Geometridae,Xanthorhoe,quadrifasciata,Xanthorhoe_quadrifasciata,31
Geometridae,Xanthorhoe,spadicearia,Xanthorhoe_spadicearia,29
Gracillariidae,Caloptilia,elongella,Caloptilia_elongella,29
Gracillariidae,Caloptilia,rufipennella,Caloptilia_rufipennella,30
Gracillariidae,Cameraria,obliquifascia,Cameraria_obliquifascia,30
Gracillariidae,Cameraria,ohridella,Cameraria_ohridella,30
Gracillariidae,Cameraria,saliciphaga,Cameraria_saliciphaga,30
Gracillariidae,Gracillaria,syringella,Gracillaria_syringella,30
Gracillariidae,Phyllonorycter,acerifoliella,Phyllonorycter_acerifoliella,30
Gracillariidae,Phyllonorycter,cerasicolella,Phyllonorycter_cerasicolella,30
Gracillariidae,Phyllonorycter,connexella,Phyllonorycter_connexella,30
Gracillariidae,Phyllonorycter,dubitella,Phyllonorycter_dubitella,30
Gracillariidae,Phyllonorycter,lautella,Phyllonorycter_lautella,30
Gracillariidae,Phyllonorycter,populifoliella,Phyllonorycter_populifoliella,29
Gracillariidae,Phyllonorycter,rajella,Phyllonorycter_rajella,30
Gracillariidae,Phyllonorycter,sorbi,Phyllonorycter_sorbi,30
Gracillariidae,Phyllonorycter,ulmioliella,Phyllonorycter_ulmioliella,30
Hepialidae,Phymatopus,californicus,Phymatopus_californicus,32
Hesperiidae,Achalarus,casica,Achalarus_casica,29
Hesperiidae,Achalarus,lyciadas,Achalarus_lyciadas,31
Hesperiidae,Achalarus,lyciades,Achalarus_lyciades,31
Hesperiidae,Achalarus,toxeus,Achalarus_toxeus,16
Hesperiidae,Achlyodes,pallida,Achlyodes_pallida,15
Hesperiidae,Aegiale,alliae,Aegiale_alliae,38
Hesperiidae,Aegiale,aryxna,Aegiale_aryxna,5
Hesperiidae,Aegiale,baueri,Aegiale_baueri,15
Hesperiidae,Aegiale,chisosensis,Aegiale_chisosensis,18
Hesperiidae,Aegiale,estelleae,Aegiale_estelleae_estelleae,9
Hesperiidae,Aegiale,estelleae,Aegiale_estelleae_valverdiensis,9
Hesperiidae,Aegiale,freemani,Aegiale_freemani,15
Hesperiidae,Aegiale,gilberti,Aegiale_gilberti,21
Hesperiidae,Aegiale,hesperiaris,Aegiale_hesperiaris,24
Hesperiidae,Aegiale,mariae,Aegiale_mariae_chinatiensis,22
Hesperiidae,Aegiale,mariae,Aegiale_mariae_lajitaensis,22
Hesperiidae,Aegiale,mariae,Aegiale_mariae_mariae,22
Hesperiidae,Aegiale,mariae,Aegiale_mariae_rindgei,22
Hesperiidae,Aegiale,micheneri,Aegiale_micheneri,20
Hesperiidae,Aegiale,neumoegeni,Aegiale_neumoegeni_florenceae,10
Hesperiidae,Aegiale,polingi,Aegiale_polingi,10
Hesperiidae,Aegiale,remingtoni,Aegiale_remingtoni,9
Hesperiidae,Agathymus,alliae,Agathymus_alliae,38
Hesperiidae,Agathymus,aryxna,Agathymus_aryxna,5
Hesperiidae,Agathymus,baueri,Agathymus_baueri,15
Hesperiidae,Agathymus,chisosensis,Agathymus_chisosensis,18
Hesperiidae,Agathymus,estelleae,Agathymus_estelleae_estelleae,9
Hesperiidae,Agathymus,estelleae,Agathymus_estelleae_valverdiensis,9
Hesperiidae,Agathymus,florenceae,Agathymus_florenceae,10
Hesperiidae,Agathymus,freemani,Agathymus_freemani,15
Hesperiidae,Agathymus,gilberti,Agathymus_gilberti,21
Hesperiidae,Agathymus,mariae,Agathymus_mariae,21
Hesperiidae,Agathymus,mariae,Agathymus_mariae_chinatiensis,22
Hesperiidae,Agathymus,mariae,Agathymus_mariae_lajitaensis,22
Hesperiidae,Agathymus,mariae,Agathymus_mariae_mariae,22
Hesperiidae,Agathymus,mariae,Agathymus_mariae_rindgei,22
Hesperiidae,Agathymus,micheneri,Agathymus_micheneri,20
Hesperiidae,Agathymus,neumoegeni,Agathymus_neumoegeni_macalpinei,10
Hesperiidae,Agathymus,polingi,Agathymus_polingi,10
Hesperiidae,Agathymus,remingtoni,Agathymus_remingtoni,9
Hesperiidae,Alera,vulpina,Alera_vulpina,27
Hesperiidae,Amblyscirtes,cassus,Amblyscirtes_cassus,29
Hesperiidae,Amblyscirtes,celia,Amblyscirtes_celia,29
Hesperiidae,Amblyscirtes,texanae,Amblyscirtes_texanae,29
Hesperiidae,Anisocharia,sublimbata,Anisocharia_sublimbata,31
Hesperiidae,Ankola,fan,Ankola_fan,10
Hesperiidae,Antigonus,erosus,Antigonus_erosus,31
Hesperiidae,Antigonus,liborius,Antigonus_liborius,31
Hesperiidae,Asbolis,capucinus,Asbolis_capucinus,48
Hesperiidae,Astraptes,anaphus,Astraptes_anaphus,31
Hesperiidae,Astraptes,fulgerator,Astraptes_fulgerator,31
Hesperiidae,Astraptes,longipennis,Astraptes_longipennis,31
