Family,Genus,epithet,species,haploid
Passifloraceae,Adenia,lobata,Adenia_lobata,12
Passifloraceae,Adenia,mannii,Adenia_mannii,12
Passifloraceae,Adenia,miegei,Adenia_miegei,24
Passifloraceae,Adenia,tenuispira,Adenia_tenuispira,12
Passifloraceae,Blephistelma,aurantia,Blephistelma_aurantia,6
Passifloraceae,Disemma,herbertiana,Disemma_herbertiana,6
Passifloraceae,Malesherbia,rnultiflora,Malesherbia_rnultiflora,7
Passifloraceae,Malesherbia,rugosa,Malesherbia_rugosa,14
Passifloraceae,Passiflora,actinia,Passiflora_actinia,9
Passifloraceae,Passiflora,adenopoda,Passiflora_adenopoda,6
Passifloraceae,Passiflora,aff.,Passiflora_aff.,6
Passifloraceae,Passiflora,alata,Passiflora_alata,9
Passifloraceae,Passiflora,allardii,Passiflora_allardii,9
Passifloraceae,Passiflora,amethystina,Passiflora_amethystina,9
Passifloraceae,Passiflora,antioquiensis,Passiflora_antioquiensis,9
Passifloraceae,Passiflora,biflora,Passiflora_biflora,6
Passifloraceae,Passiflora,bryonioides,Passiflora_bryonioides,6
Passifloraceae,Passiflora,bryonoides,Passiflora_bryonoides,6
Passifloraceae,Passiflora,caerulea,Passiflora_caerulea,9
Passifloraceae,Passiflora,capparidifolia,Passiflora_capparidifolia,9
Passifloraceae,Passiflora,capsularis,Passiflora_capsularis,6
Passifloraceae,Passiflora,cerasina,Passiflora_cerasina,9
Passifloraceae,Passiflora,cincinnata,Passiflora_cincinnata,9
Passifloraceae,Passiflora,citrina,Passiflora_citrina,6
Passifloraceae,Passiflora,coactilis,Passiflora_coactilis,6
Passifloraceae,Passiflora,cobanensis,Passiflora_cobanensis,6
Passifloraceae,Passiflora,coccinea,Passiflora_coccinea,9
Passifloraceae,Passiflora,conzattiana,Passiflora_conzattiana,6
Passifloraceae,Passiflora,coriacea,Passiflora_coriacea,6
Passifloraceae,Passiflora,costaricensis,Passiflora_costaricensis,6
Passifloraceae,Passiflora,cumbalensis,Passiflora_cumbalensis,9
Passifloraceae,Passiflora,dioscoreifolia,Passiflora_dioscoreifolia,6
Passifloraceae,Passiflora,edmundoi,Passiflora_edmundoi,9
Passifloraceae,Passiflora,edulis,Passiflora_edulis,9
Passifloraceae,Passiflora,eichleriana,Passiflora_eichleriana,9
Passifloraceae,Passiflora,elegans,Passiflora_elegans,9
Passifloraceae,Passiflora,escobariana,Passiflora_escobariana,6
Passifloraceae,Passiflora,exsudans,Passiflora_exsudans,12
Passifloraceae,Passiflora,foetida,Passiflora_foetida,10
Passifloraceae,Passiflora,foetidtl,Passiflora_foetidtl,11
Passifloraceae,Passiflora,galbana,Passiflora_galbana,9
Passifloraceae,Passiflora,gardneri,Passiflora_gardneri,9
Passifloraceae,Passiflora,gibertii,Passiflora_gibertii,9
Passifloraceae,Passiflora,gilbertiana,Passiflora_gilbertiana,6
Passifloraceae,Passiflora,glandulosa,Passiflora_glandulosa,9
Passifloraceae,Passiflora,gracilis,Passiflora_gracilis,9
Passifloraceae,Passiflora,haematostigma,Passiflora_haematostigma,12
Passifloraceae,Passiflora,holosericea,Passiflora_holosericea,7
Passifloraceae,Passiflora,incarnata,Passiflora_incarnata,9
Passifloraceae,Passiflora,ischnoclada,Passiflora_ischnoclada,9
Passifloraceae,Passiflora,jilekii,Passiflora_jilekii,9
Passifloraceae,Passiflora,juliana,Passiflora_juliana,6
Passifloraceae,Passiflora,kermesina,Passiflora_kermesina,9
Passifloraceae,Passiflora,laurifolia,Passiflora_laurifolia,9
Passifloraceae,Passiflora,leptoclada,Passiflora_leptoclada,6
Passifloraceae,Passiflora,liguiaris,Passiflora_liguiaris,9
Passifloraceae,Passiflora,ligularis,Passiflora_ligularis,9
Passifloraceae,Passiflora,lindeniana,Passiflora_lindeniana,12
Passifloraceae,Passiflora,loefgrenii,Passiflora_loefgrenii,9
Passifloraceae,Passiflora,lutea,Passiflora_lutea,42
Passifloraceae,Passiflora,magnifica,Passiflora_magnifica,9
Passifloraceae,Passiflora,malacophylla,Passiflora_malacophylla,9
Passifloraceae,Passiflora,maliformis,Passiflora_maliformis,9
Passifloraceae,Passiflora,manicata,Passiflora_manicata,9
Passifloraceae,Passiflora,micropetala,Passiflora_micropetala,6
Passifloraceae,Passiflora,microstipula,Passiflora_microstipula,9
Passifloraceae,Passiflora,miersii,Passiflora_miersii,9
Passifloraceae,Passiflora,misera,Passiflora_misera,9
Passifloraceae,Passiflora,mixta,Passiflora_mixta,9
Passifloraceae,Passiflora,mollissima,Passiflora_mollissima,9
Passifloraceae,Passiflora,morifolia,Passiflora_morifolia,6
Passifloraceae,Passiflora,mucronata,Passiflora_mucronata,9
Passifloraceae,Passiflora,nitida,Passiflora_nitida,9
Passifloraceae,Passiflora,nubicola,Passiflora_nubicola,6
Passifloraceae,Passiflora,oaxacensis,Passiflora_oaxacensis,6
Passifloraceae,Passiflora,obtusifolia,Passiflora_obtusifolia,6
Passifloraceae,Passiflora,organensis,Passiflora_organensis,6
Passifloraceae,Passiflora,pentagona,Passiflora_pentagona,12
Passifloraceae,Passiflora,pilosicorona,Passiflora_pilosicorona,9
Passifloraceae,Passiflora,platyloba,Passiflora_platyloba,9
Passifloraceae,Passiflora,pohlii,Passiflora_pohlii,6
Passifloraceae,Passiflora,porphyretica,Passiflora_porphyretica,6
Passifloraceae,Passiflora,pulchella,Passiflora_pulchella,6
Passifloraceae,Passiflora,quadrangularis,Passiflora_quadrangularis,9
