Clade,Higher Classification
chondrichthyes,Chondrichthyes
anabantaria,Actinopterygii
cichlidae,Actinopterygii
nothobranchiidae,Actinopterygii
gobiidae,Actinopterygii
siluriformes,Actinopterygii
characiformes,Actinopterygii
cyprinidae,Actinopterygii
caudata,Amphibia
anura,Amphibia
carnivora,Mammalia
cetaceans,Mammalia
chiroptera,Mammalia
cricetidae,Mammalia
muridae,Mammalia
primates,Mammalia
gekkonidae,Reptilia
scincidae,Reptilia
serpentes,Reptilia
iguania,Reptilia
accipitriformes,Reptilia
passeriformes,Reptilia
testudines,Reptilia
araneae,Arachnida
scorpiones,Arachnida
blattodea,Insecta
orthoptera,Insecta
hymenoptera,Insecta
dytiscidae,Insecta
carabidae,Insecta
coccinellidae,Insecta
chrysomelidae,Insecta
curculionidae,Insecta
scolytidae,Insecta
cerambycidae,Insecta
elateridae,Insecta
tenebrionidae,Insecta
buprestidae,Insecta
drosophilidae,Insecta
lepidoptera,Insecta
odonata,Insecta
solanaceae,Angiosperm
rubiaceae,Angiosperm
asteraceae,Angiosperm
brassicaceae,Angiosperm
passiflora,Angiosperm
fabaceae,Angiosperm
magnoliaceae,Angiosperm
orchidaceae,Angiosperm
liliaceae,Angiosperm
gymnospermae,Gymnosperms
tracheophytes,Tracheophytes
bryophytes,Bryophytes
